,Blank,Blank1,Ground,Inns,Opposition,Overs,RPO,Result,Score,Start Date,Team
4528,,v Sri Lanka,25 Aug 1999,1,Colombo (RPS),50.0,4.10,lost,205/8,,India
4529,,v West Indies,9 Oct 1999,2,Dhaka,49.1,4.16,lost,205,,Bangladesh
4530,,v Australia,19 Jan 2000,2,Sydney,45.2,4.52,lost,205,,Pakistan
4531,,v Zimbabwe,15 Apr 2000,2,St George's,43.1,4.74,won,205/4,,Pakistan
4532,,v South Africa,16 Apr 2000,1,Johannesburg,49.5,4.11,lost,205,,Australia
4533,,v Sri Lanka,1 Jun 2000,2,Dhaka,45.0,4.55,lost,205,,India
4534,,v Australia,28 Jan 2001,2,Sydney,47.5,4.28,lost,205,,Zimbabwe
4535,,v Sri Lanka,3 Feb 2001,1,Wellington,50.0,4.10,lost,205/8,,New Zealand
4536,,v West Indies,15 Aug 2001,2,Nairobi,49.3,4.14,lost,205,,Kenya
4537,,v Kenya,5 Sep 2002,2,Nairobi (Gym),49.1,4.16,won,205/5,,Australia
4538,,v Australia,17 May 2003,2,Kingston,37.0,5.54,lost,205/8,,West Indies
4539,,,,,,,,,,,
4540,,v Australia,25 May 2004,1,Harare,50.0,4.10,lost,205/9,,Zimbabwe
4541,,v Sri Lanka,30 Jul 2005,1,Dambulla,50.0,4.10,lost,205/9,,India
4542,,v New Zealand,24 Aug 2005,2,Bulawayo,43.0,4.76,lost,205,,Zimbabwe
4543,,v Kenya,26 Feb 2006,2,Bulawayo,46.2,4.42,lost,205,,Zimbabwe
4544,,v Scotland,27 Jun 2006,2,Edinburgh,43.5,4.67,won,205/5,,Pakistan
4545,,v Canada,1 Dec 2006,2,Benoni,41.4,4.92,won,205/9,,Netherlands
4546,,v England,16 Jan 2007,1,Hobart,50.0,4.10,lost,205/9,,New Zealand
4547,,v Scotland,2 Feb 2007,2,Nairobi (Jaff),36.5,5.56,lost,205,,Netherlands
4548,,v Bangladesh,25 Feb 2007,1,St John's,50.0,4.10,lost,205/8,,Bermuda
4549,,v Bangladesh,10 Jan 2009,1,Dhaka,50.0,4.10,won,205/9,,Zimbabwe
4550,,v Scotland,22 Aug 2009,1,Aberdeen,50.0,4.10,won,205/9,,Ireland
4551,,v Australia,30 Sep 2009,1,Centurion,50.0,4.10,lost,205/6,,Pakistan
4552,,v Ireland,16 Aug 2010,2,Dublin,45.1,4.53,lost,205,,Netherlands
4553,,v Ireland,25 Feb 2011,1,Dhaka,49.2,4.15,won,205,,Bangladesh
4554,,v South Africa,24 Mar 2013,1,Benoni,49.1,4.16,lost,205,,Pakistan
4555,,v Ireland,23 Feb 2014,2,Kingston,36.4,5.59,won,205/6,,West Indies
4556,,v Hong Kong,22 Jan 2017,1,Abu Dhabi,48.4,4.21,lost,205,,Scotland
4557,,v New Zealand,21 Dec 1980,1,Brisbane,48.5,4.17,lost,204,,India
4558,,v West Indies,26 Jan 1985,1,Adelaide,50.0,4.08,lost,204/6,,Sri Lanka
4559,,v England,9 Mar 1988,1,Dunedin,49.4,4.10,lost,204,,New Zealand
4560,,v Pakistan,8 Jan 1989,2,Brisbane,44.5,4.55,won,204/5,,Australia
4561,,v West Indies,14 Jan 1989,1,Melbourne,50.0,4.08,won,204/9,,Australia
4562,,v Sri Lanka,30 Dec 1989,2,Perth,38.5,5.25,won,204/1,,Australia
4563,,v England,15 Dec 1990,2,Brisbane,44.3,4.58,won,204/2,,New Zealand
4564,,v India,4 Jan 1991,1,Kolkata,45.0,4.53,lost,204/9,,Sri Lanka
4565,,v Pakistan,24 Nov 1991,1,Faisalabad,40.0,5.10,won,204/5,,West Indies
4566,,v England,22 Aug 1992,1,Lord's,50.0,4.08,won,204/5,,Pakistan
4567,,v South Africa,19 Dec 1992,2,East London,47.2,4.30,won,204/5,,India
4568,,v India,12 Aug 1993,1,Colombo (RPS),50.0,4.08,won,204/7,,Sri Lanka
4569,,v New Zealand,28 Jan 1996,2,Auckland,43.5,4.65,lost,204,,Zimbabwe
4570,,v Pakistan,6 Oct 1996,2,Nairobi (Gym),39.2,5.18,won,204/3,,South Africa
4571,,v England,14 May 1999,1,Lord's,48.4,4.19,lost,204,,Sri Lanka
4572,,v Kenya,18 May 1999,2,Canterbury,39.0,5.23,won,204/1,,England
4573,,v England,26 Jan 2000,1,Cape Town,50.0,4.08,won,204/7,,South Africa
4574,,v Zimbabwe,6 Feb 2000,1,Port Elizabeth,50.0,4.08,won,204/7,,South Africa
4575,,v Pakistan,15 Apr 2000,1,St George's,50.0,4.08,lost,204/7,,Zimbabwe
4576,,v Sri Lanka,17 Jan 2001,2,Johannesburg,42.0,4.85,lost,204,,South Africa
4577,,v Sri Lanka,18 Jul 2001,2,Colombo (RPS),49.0,4.16,lost,204/9,,New Zealand
4578,,v Australia,22 Mar 2002,2,Johannesburg,44.4,4.56,lost,204,,South Africa
4579,,v Australia,5 Sep 2002,1,Nairobi (Gym),50.0,4.08,lost,204/9,,Kenya
4580,,v Netherlands,12 Feb 2003,1,Paarl,48.5,4.17,won,204,,India
4581,,v Australia,2 Mar 2003,1,Port Elizabeth,50.0,4.08,lost,204/8,,England
4582,,v Pakistan,17 Jun 2003,1,Manchester,50.0,4.08,lost,204/9,,England
4583,,v India,1 Feb 2004,2,Perth,32.0,6.37,won,204/5,,Australia
4584,,v England,5 Sep 2004,1,Lord's,49.3,4.12,won,204,,India
4585,,v Bangladesh,26 Jan 2005,2,Chittagong,47.5,4.26,lost,204,,Zimbabwe
4586,,v West Indies,22 Feb 2006,2,Queenstown,42.0,4.85,won,204/7,,New Zealand
4587,,v Zimbabwe,19 Mar 2007,2,Kingston,47.5,4.26,won,204/4,,West Indies
4588,,v Bangladesh,24 Jun 2008,2,Lahore,45.4,4.46,lost,204,,U.A.E.
4589,,v India,24 Aug 2008,2,Colombo (RPS),49.0,4.16,lost,204,,Sri Lanka
4590,,,,,,,,,,,
4591,,v New Zealand,9 Nov 2009,2,Abu Dhabi,49.1,4.14,lost,204,,Pakistan
4592,,v West Indies,16 Mar 2012,1,Kingstown,50.0,4.08,won,204/8,,Australia
4593,,v Sri Lanka,9 Jun 2012,2,Pallekele,46.2,4.40,lost,204,,Pakistan
4594,,v Sri Lanka,6 Mar 2014,1,Dhaka,50.0,4.08,lost,204/9,,Bangladesh
4595,,v New Zealand,23 Aug 2015,1,Potchefstroom,49.3,4.12,lost,204,,South Africa
4596,,v South Africa,15 Jun 2016,2,Basseterre,38.0,5.36,lost,204,,West Indies
4597,,v Bangladesh,9 Oct 2016,2,Dhaka,44.4,4.56,lost,204,,England
4598,,v New Zealand,6 Feb 1980,1,Christchurch,50.0,4.06,lost,203/7,,West Indies
4599,,v India,17 Nov 1985,1,Sharjah,45.0,4.51,won,203/4,,Pakistan
4600,,v West Indies,4 Dec 1985,2,Rawalpindi,39.1,5.18,won,203/5,,Pakistan
4601,,v India,8 Dec 1987,1,Nagpur,50.0,4.06,won,203/8,,West Indies
4602,,v Pakistan,7 Jan 1989,2,Brisbane,40.4,4.99,lost,203,,West Indies
4603,,v Australia,8 Jan 1989,1,Brisbane,50.0,4.06,lost,203/9,,Pakistan
4604,,v Australia,30 Dec 1989,1,Perth,48.0,4.22,lost,203/9,,Sri Lanka
4605,,v New Zealand,15 Dec 1990,1,Brisbane,50.0,4.06,lost,203/6,,England
4606,,v West Indies,12 Jan 1992,2,Brisbane,49.0,4.14,lost,203,,Australia
4607,,v Zimbabwe,7 Mar 1992,1,Hamilton,32.0,6.34,won,203/7,,India
4608,,v New Zealand,8 Mar 1992,1,Auckland,50.0,4.06,lost,203/7,,West Indies
4609,,v India,19 Dec 1992,1,East London,50.0,4.06,lost,203/8,,South Africa
4610,,v India,7 Nov 1993,1,Kanpur,49.4,4.08,lost,203,,Sri Lanka
4611,,v South Africa,8 Apr 1994,1,Bloemfontein,50.0,4.06,won,203/6,,Australia
4612,,v New Zealand,6 Dec 1994,1,Cape Town,50.0,4.06,won,203/8,,South Africa
4613,,v New Zealand,23 Feb 1995,2,Christchurch,47.0,4.31,lost,203,,South Africa
4614,,v England,28 May 1995,2,Lord's,48.2,4.20,lost,203,,West Indies
4615,,v Kenya,18 Feb 1996,2,Cuttack,41.5,4.85,won,203/3,,India
4616,,v South Africa,6 Oct 1996,1,Nairobi (Gym),46.2,4.38,lost,203,,Pakistan
4617,,v Australia,1 Jan 1997,2,Sydney,45.3,4.46,won,203/6,,Pakistan
4618,,v Sri Lanka,8 Apr 1997,1,Sharjah,49.5,4.07,won,203,,Zimbabwe
4619,,v England,18 May 1999,1,Canterbury,49.4,4.08,lost,203,,Kenya
4620,,v South Africa,26 Jan 2000,2,Cape Town,50.0,4.06,lost,203/9,,England
4621,,v South Africa,12 Mar 2000,2,Jamshedpur,47.1,4.30,won,203/4,,India
4622,,v South Africa,1 Feb 2002,2,Perth,50.0,4.06,lost,203/8,,New Zealand
4623,,v Sri Lanka,30 Jun 2002,2,The Oval,45.2,4.47,won,203/6,,India
4624,,v Sri Lanka,17 Aug 2002,2,Tangier,43.4,4.64,lost,203,,Pakistan
4625,,v New Zealand,20 May 2003,1,Dambulla,50.0,4.06,won,203/9,,Pakistan
4626,,v Australia,1 Feb 2004,1,Perth,49.0,4.14,lost,203,,India
4627,,v Sri Lanka,1 Aug 2004,2,Colombo (RPS),50.0,4.06,lost,203/9,,India
4628,,v New Zealand,6 Jan 2006,2,Wellington,46.4,4.35,lost,203,,Sri Lanka
4629,,v England,28 Mar 2006,1,Delhi,46.4,4.35,won,203,,India
4630,,v Pakistan,27 Jun 2006,1,Edinburgh,50.0,4.06,lost,203/8,,Scotland
4631,,v Canada,14 Mar 2007,2,Gros Islet,43.2,4.68,won,203/3,,Kenya
4632,,v India,16 Aug 2007,1,Glasgow,46.0,4.41,lost,203/9,,Scotland
4633,,v Bangladesh,26 Dec 2007,2,Auckland,42.4,4.75,won,203/4,,New Zealand
4634,,v India,17 Feb 2008,1,Adelaide,50.0,4.06,won,203/9,,Australia
4635,,v Kenya,4 Feb 2009,2,Nairobi (Gym),35.0,5.80,won,203/3,,Zimbabwe
4636,,v Ireland,27 Aug 2009,1,Belfast,50.0,4.06,won,203/9,,England
4637,,v Zimbabwe,9 Jun 2010,2,Harare,34.4,5.85,won,203/1,,Sri Lanka
4638,,v Netherlands,7 Jul 2010,2,The Hague,42.3,4.77,won,203/4,,Afghanistan
4639,,v England,12 Jul 2010,2,Birmingham,45.0,4.51,lost,203,,Bangladesh
4640,,v New Zealand,19 Aug 2010,1,Dambulla,43.4,4.64,n/r,203/3,,Sri Lanka
4641,,,,,,,,,,,
4642,,v South Africa,29 Oct 2010,1,Abu Dhabi,49.0,4.14,lost,203,,Pakistan
4643,,v Sri Lanka,3 Feb 2011,1,Colombo (SSC),50.0,4.06,lost,203,,West Indies
4644,,v Zimbabwe,19 Aug 2011,2,Bulawayo,36.4,5.53,won,203/4,,Bangladesh
4645,,v Scotland,6 Mar 2013,2,Sharjah,33.5,6.00,won,203/3,,Afghanistan
4646,,v Sri Lanka,11 Jul 2013,2,Port of Spain,49.4,4.08,won,203/9,,India
4647,,v Sri Lanka,12 Nov 2013,2,Hambantota,23.0,8.82,won,203/6,,New Zealand
4648,,v Hong Kong,8 Nov 2014,2,Townsville,39.0,5.20,won,203/6,,P.N.G.
4649,,v Sri Lanka,26 Jul 2015,2,Hambantota,37.2,5.43,lost,203,,Pakistan
4650,,v U.A.E.,4 Mar 2017,2,ICCA Dubai,41.5,4.85,won,203/2,,Ireland
4651,,v South Africa,3 Jun 2017,2,The Oval,41.3,4.89,lost,203,,Sri Lanka
4652,,v West Indies,26 Aug 1976,1,Scarborough,55.0,3.67,lost,202/8,,England
4653,,v West Indies,17 Jan 1985,2,Sydney,50.0,4.04,lost,202/5,,Sri Lanka
4654,,v New Zealand,2 Feb 1986,1,Launceston,48.0,4.20,won,202/9,,India
4655,,v Pakistan,11 Apr 1986,1,Sharjah,50.0,4.04,lost,202/7,,Australia
4656,,v Pakistan,17 Nov 1986,1,Multan,44.0,4.59,won,202/5,,West Indies
4657,,v West Indies,18 Nov 1986,1,Hyderabad (Sind),45.0,4.48,won,202/6,,Pakistan
4658,,v West Indies,15 Dec 1988,2,Melbourne,47.2,4.26,lost,202,,Australia
4659,,v Australia,14 Jan 1989,2,Melbourne,50.0,4.04,lost,202/9,,West Indies
4660,,v Pakistan,28 Oct 1989,2,Kolkata,42.3,4.75,lost,202,,India
4661,,v Sri Lanka,4 Jan 1990,1,Melbourne,50.0,4.04,won,202/7,,Australia
4662,,v New Zealand,13 Jan 1991,2,Sydney,49.1,4.10,won,202/4,,Australia
4663,,v Australia,20 Jan 1992,2,Sydney,50.0,4.04,lost,202/7,,India
4664,,v India,16 Nov 1993,1,Ahmedabad,50.0,4.04,won,202/7,,West Indies
4665,,v New Zealand,16 Dec 1993,1,Melbourne,50.0,4.04,won,202/5,,Australia
4666,,v South Africa,21 Jan 1994,2,Melbourne,48.5,4.13,lost,202,,Australia
4667,,v West Indies,16 Feb 1994,1,Bridgetown,50.0,4.04,won,202/5,,England
4668,,v Pakistan,9 Mar 1994,2,Wellington,48.0,4.20,lost,202/8,,New Zealand
4669,,v Australia,8 Apr 1994,2,Bloemfontein,50.0,4.04,lost,202/8,,South Africa
4670,,v India,13 Apr 1994,2,Sharjah,50.0,4.04,lost,202/9,,U.A.E.
4671,,v India,5 Nov 1994,2,Kolkata,44.0,4.59,lost,202,,West Indies
4672,,v India,9 Apr 1995,1,Sharjah,50.0,4.04,lost,202/9,,Sri Lanka
4673,,v West Indies,14 Jan 1996,1,Perth,50.0,4.04,won,202,,Sri Lanka
4674,,v Australia,14 Mar 1996,2,Mohali,49.3,4.08,lost,202,,West Indies
4675,,v India,6 Sep 1996,2,Colombo (SSC),44.3,4.53,won,202/7,,Australia
4676,,v New Zealand,25 Mar 1997,2,Christchurch,35.5,5.63,won,202/4,,Sri Lanka
4677,,v India,9 Apr 1999,2,Sharjah,47.5,4.22,lost,202,,England
4678,,v Pakistan,16 May 1999,2,Bristol,48.5,4.13,lost,202,,West Indies
4679,,v Sri Lanka,31 Aug 1999,1,Colombo (RPS),50.0,4.04,lost,202,,Australia
4680,,v India,8 Nov 1999,2,Hyderabad (Deccan),33.1,6.09,lost,202,,New Zealand
4681,,v Zimbabwe,19 Dec 1999,1,Harare,48.2,4.17,lost,202,,Sri Lanka
4682,,v South Africa,28 Apr 2001,2,Kingston,50.0,4.04,won,202/7,,West Indies
4683,,v West Indies,9 May 2001,2,Bridgetown,41.4,4.84,won,202/3,,South Africa
4684,,v Bangladesh,22 Jan 2002,1,Chittagong,49.5,4.05,won,202,,Pakistan
4685,,v New Zealand,12 Jun 2002,2,Port of Spain,33.0,6.12,lost,202/9,,West Indies
4686,,v India,30 Jun 2002,1,The Oval,50.0,4.04,lost,202/8,,Sri Lanka
4687,,v West Indies,21 Nov 2002,2,Jodhpur,46.2,4.35,won,202/7,,India
4688,,v West Indies,23 Feb 2003,1,Centurion,42.5,4.71,lost,202,,Canada
4689,,v Zimbabwe,28 Feb 2003,2,Bulawayo,50.0,4.04,lost,202/9,,Netherlands
4690,,v Australia,29 Feb 2004,2,Colombo (SSC),47.5,4.22,won,202/7,,Sri Lanka
4691,,v Zimbabwe,31 Jan 2005,2,Dhaka,33.0,6.12,won,202/2,,Bangladesh
4692,,,,,,,,,,,
4693,,v Australia,13 Jan 2006,2,Melbourne (Docklands),50.0,4.04,lost,202/7,,Sri Lanka
4694,,v Pakistan,30 Aug 2006,1,Cardiff,49.2,4.09,n/r,202,,England
4695,,v Zimbabwe,15 Sep 2006,2,Bloemfontein,43.5,4.60,won,202/5,,South Africa
4696,,v West Indies,19 Mar 2007,1,Kingston,50.0,4.04,lost,202/5,,Zimbabwe
4697,,v South Africa,23 Oct 2007,2,Faisalabad,48.1,4.19,won,202/4,,Pakistan
4698,,v New Zealand,9 Oct 2008,2,Dhaka,45.3,4.43,won,202/3,,Bangladesh
4699,,v New Zealand,11 Mar 2010,2,Auckland,31.1,6.48,won,202/4,,Australia
4700,,v Afghanistan,7 Jul 2010,1,The Hague,50.0,4.04,lost,202/8,,Netherlands
4701,,v West Indies,23 Feb 2014,1,Kingston,49.2,4.09,lost,202,,Ireland
4702,,v P.N.G.,8 Nov 2014,1,Townsville,48.3,4.16,lost,202,,Hong Kong
4703,,v Sri Lanka,13 Dec 2014,2,Pallekele,41.3,4.86,lost,202,,England
4704,,v Pakistan,7 Mar 2015,2,Auckland,33.3,6.02,lost,202,,South Africa
4705,,v England,2 Jul 2016,2,Cardiff,42.4,4.73,lost,202,,Sri Lanka
4706,,v Ireland,4 Mar 2017,1,ICCA Dubai,47.5,4.22,lost,202,,U.A.E.
4707,,v Pakistan,5 Dec 1980,2,Sialkot,35.3,5.66,won,201/3,,West Indies
4708,,v Sri Lanka,1 Apr 1984,1,Colombo (PSS),44.0,4.56,won,201/8,,New Zealand
4709,,v Australia,15 Jan 1985,2,Sydney,43.3,4.62,won,201/5,,West Indies
4710,,v Australia,27 Jan 1985,2,Adelaide,43.4,4.60,won,201/4,,West Indies
4711,,v Pakistan,2 Dec 1985,1,Peshawar,40.0,5.02,won,201/5,,West Indies
4712,,v India,25 Mar 1988,2,Sharjah,49.2,4.07,lost,201,,Sri Lanka
4713,,v New Zealand,28 Jan 1991,2,Auckland,44.4,4.50,lost,201,,Sri Lanka
4714,,v Pakistan,27 Feb 1992,2,Hobart,50.0,4.02,lost,201/7,,Zimbabwe
4715,,v England,15 Mar 1992,2,Wellington,40.5,4.92,won,201/3,,New Zealand
4716,,v Pakistan,22 Aug 1992,2,Lord's,49.2,4.07,lost,201,,England
4717,,v England,21 Jan 1993,2,Chandigarh,45.1,4.45,won,201/5,,India
4718,,v West Indies,6 Mar 1994,2,Port of Spain,36.4,5.48,won,201/5,,England
4719,,v South Africa,4 Apr 1994,2,Port Elizabeth,49.1,4.08,lost,201,,Australia
4720,,v Australia,12 Oct 1994,2,Lahore,50.0,4.02,lost,201/8,,South Africa
4721,,v Pakistan,14 Oct 1994,2,Multan,46.0,4.36,won,201/3,,Australia
4722,,v Pakistan,13 Dec 1994,1,Port Elizabeth,49.4,4.04,lost,201,,New Zealand
4723,,v England,24 May 1995,2,Nottingham,52.4,3.81,won,201/5,,West Indies
4724,,v Sri Lanka,18 Jan 1996,1,Melbourne,50.0,4.02,won,201/7,,Australia
4725,,v Australia,6 Sep 1996,1,Colombo (SSC),41.0,4.90,lost,201,,India
4726,,v Sri Lanka,25 Mar 1997,1,Christchurch,50.0,4.02,lost,201/9,,New Zealand
4727,,v Sri Lanka,27 Mar 1997,1,Wellington,49.2,4.07,won,201,,New Zealand
4728,,v South Africa,13 Apr 1997,2,Bloemfontein,37.0,5.43,lost,201,,Australia
4729,,v New Zealand,21 Jun 1998,2,Colombo (RPS),40.0,5.02,won,201/3,,Sri Lanka
4730,,v Sri Lanka,14 Aug 1998,2,Nottingham,49.0,4.10,lost,201,,South Africa
4731,,v Zimbabwe,24 Oct 1999,2,Harare,39.0,5.15,won,201/1,,Australia
4732,,v Australia,16 Aug 2000,2,Melbourne (Docklands),50.0,4.02,lost,201/7,,South Africa
4733,,v New Zealand,9 Oct 2000,2,Nairobi (Gym),42.2,4.74,lost,201,,Zimbabwe
4734,,v West Indies,6 May 2001,2,St George's,46.1,4.35,won,201/2,,South Africa
4735,,v West Indies,11 Dec 2001,2,Colombo (RPS),43.2,4.63,lost,201,,Sri Lanka
4736,,v England,20 Feb 2002,2,Napier,46.3,4.32,lost,201,,New Zealand
4737,,v Sri Lanka,8 Apr 2002,2,Sharjah,45.5,4.38,lost,201,,Pakistan
4738,,v Pakistan,12 Sep 2002,2,Colombo (RPS),36.1,5.55,won,201/2,,Sri Lanka
4739,,v India,21 Nov 2002,1,Jodhpur,46.3,4.32,lost,201,,West Indies
4740,,v West Indies,7 Jun 2003,1,Bridgetown,48.4,4.13,won,201,,Sri Lanka
4741,,v Pakistan,15 Sep 2003,2,Lahore,44.0,4.56,lost,201/9,,Bangladesh
4742,,v India,19 Sep 2004,2,Birmingham,49.2,4.07,won,201/7,,Pakistan
4743,,,,,,,,,,,
4744,,v New Zealand,28 Oct 2005,1,Cape Town,50.0,4.02,won,201/9,,South Africa
4745,,v Australia,3 Feb 2006,2,Melbourne (Docklands),50.0,4.02,lost,201/9,,South Africa
4746,,v Australia,12 Feb 2006,2,Sydney,36.0,5.58,lost,201,,Sri Lanka
4747,,v Sri Lanka,17 Mar 2006,1,Colombo (RPS),50.0,4.02,n/r,201/8,,Pakistan
4748,,v India,18 Apr 2006,2,Abu Dhabi,48.3,4.14,won,201/4,,Pakistan
4749,,v Zimbabwe,6 Aug 2006,2,Harare,44.4,4.50,won,201/2,,Bangladesh
4750,,v Australia,12 Sep 2006,2,Kuala Lumpur,34.3,5.82,lost,201,,West Indies
4751,,v South Africa,15 Sep 2006,1,Bloemfontein,50.0,4.02,lost,201/7,,Zimbabwe
4752,,v Kenya,14 Nov 2006,2,Mombasa,50.0,4.02,lost,201/6,,Bermuda
4753,,v India,3 Dec 2006,2,Centurion,31.2,6.41,won,201/1,,South Africa
4754,,v Canada,30 Jan 2007,2,Nairobi (Ruaraka),35.0,5.74,won,201/2,,Netherlands
4755,,v New Zealand,26 Dec 2007,1,Auckland,46.3,4.32,lost,201,,Bangladesh
4756,,v Canada,29 Jun 2008,1,King City (NW),50.0,4.02,won,201/8,,Bermuda
4757,,v Bangladesh,9 Oct 2008,1,Dhaka,50.0,4.02,lost,201/9,,New Zealand
4758,,v New Zealand,11 Mar 2009,2,Hamilton,23.3,8.55,won,201/0,,India
4759,,v Ireland,25 Aug 2011,1,Dublin,42.0,4.78,won,201/8,,England
4760,,v Ireland,18 Feb 2012,2,Mombasa,42.4,4.71,won,201/3,,Kenya
4761,,v Australia,7 Jul 2012,2,Chester-le-Street,47.5,4.20,won,201/2,,England
4762,,v West Indies,30 Nov 2012,2,Khulna,40.2,4.98,won,201/3,,Bangladesh
4763,,v India,11 Jul 2013,1,Port of Spain,48.5,4.11,lost,201,,Sri Lanka
4764,,v India,30 Jan 2015,2,Perth,46.5,4.29,won,201/7,,England
4765,,v Hong Kong,6 Nov 2016,1,Mong Kok,45.5,4.38,won,201,,P.N.G.
4766,,v West Indies,5 Dec 1980,1,Sialkot,40.0,5.00,lost,200/4,,Pakistan
4767,,v New Zealand,20 Jan 1983,2,Sydney,42.4,4.68,won,200/2,,England
4768,,v Australia,31 Jan 1983,1,Adelaide,50.0,4.00,won,200/9,,New Zealand
4769,,v West Indies,15 Jan 1985,1,Sydney,50.0,4.00,lost,200/5,,Australia
4770,,v West Indies,27 Jan 1985,1,Adelaide,50.0,4.00,lost,200/9,,Australia
4771,,v Pakistan,24 Feb 1985,2,Melbourne,42.3,4.70,lost,200,,Australia
4772,,v India,27 Jan 1987,2,Indore,44.0,4.54,won,200/7,,Pakistan
4773,,v New Zealand,12 Jan 1988,2,Hobart,46.3,4.30,won,200/6,,Sri Lanka
4774,,v West Indies,5 Mar 1992,1,Christchurch,50.0,4.00,won,200/8,,South Africa
4775,,v New Zealand,15 Mar 1992,1,Wellington,50.0,4.00,lost,200/8,,England
4776,,v Pakistan,3 Aug 1994,1,Colombo (RPS),50.0,4.00,lost,200/6,,Sri Lanka
4777,,v Australia,14 Oct 1994,1,Multan,50.0,4.00,lost,200/8,,Pakistan
4778,,v Sri Lanka,3 Nov 1994,2,Harare,48.1,4.15,lost,200,,Zimbabwe
4779,,v Zimbabwe,7 Jan 1995,1,Brisbane,50.0,4.00,won,200/8,,England
4780,,v England,1 Jan 1997,1,Harare,48.5,4.09,won,200,,Zimbabwe
4781,,v New Zealand,4 Mar 1997,2,Wellington,47.5,4.18,lost,200,,England
4782,,v Sri Lanka,7 Apr 1997,2,Sharjah,45.4,4.37,lost,200,,Pakistan
4783,,v India,3 May 1997,2,Bridgetown,44.4,4.47,won,200/0,,West Indies
4784,,v Australia,4 Dec 1997,1,Sydney,50.0,4.00,won,200,,South Africa
4785,,v Sri Lanka,21 Jun 1998,1,Colombo (RPS),50.0,4.00,lost,200/9,,New Zealand
4786,,v India,9 Jan 1999,2,Taupo,38.0,5.26,won,200/5,,New Zealand
4787,,v Kenya,25 Sep 1999,2,Nairobi (Gym),49.2,4.05,won,200/7,,Zimbabwe
4788,,v Australia,24 Oct 1999,1,Harare,50.0,4.00,lost,200/9,,Zimbabwe
4789,,v Sri Lanka,12 Dec 1999,2,Bulawayo,49.1,4.06,lost,200,,Zimbabwe
4790,,v Zimbabwe,5 Apr 2000,2,St John's,47.1,4.24,won,200/5,,Pakistan
4791,,v India,13 Oct 2000,2,Nairobi (Gym),41.0,4.87,lost,200,,South Africa
4792,,v West Indies,28 Apr 2001,1,Kingston,47.4,4.19,lost,200,,South Africa
4793,,v South Africa,6 May 2001,1,St George's,49.3,4.04,lost,200,,West Indies
4794,,,,,,,,,,,
4795,,v India,26 Jul 2001,1,Colombo (RPS),46.4,4.28,won,200,,New Zealand
4796,,v Sri Lanka,7 Aug 2002,2,Colombo (RPS),47.2,4.22,lost,200,,Bangladesh
4797,,v Sri Lanka,12 Sep 2002,1,Colombo (RPS),49.4,4.02,lost,200,,Pakistan
4798,,v West Indies,12 Nov 2002,2,Rajkot,27.1,7.36,won,200/1,,India
4799,,v New Zealand,11 Jan 2003,2,Auckland,48.5,4.09,won,200/9,,India
4800,,v Pakistan,23 May 2003,2,Dambulla,45.2,4.41,won,200/6,,New Zealand
4801,,v Pakistan,19 Sep 2004,1,Birmingham,49.5,4.01,lost,200,,India
4802,,v England,21 Dec 2005,2,Rawalpindi,50.0,4.00,lost,200/9,,Pakistan
4803,,v New Zealand,22 Feb 2006,1,Queenstown,50.0,4.00,lost,200/9,,West Indies
4804,,v South Africa,3 Dec 2006,1,Centurion,50.0,4.00,lost,200/9,,India
4805,,v Netherlands,30 Jan 2007,1,Nairobi (Ruaraka),44.0,4.54,lost,200,,Canada
4806,,v England,2 Feb 2007,2,Sydney,38.5,5.15,lost,200,,Australia
4807,,v Zimbabwe,29 Jan 2009,2,Mombasa,45.1,4.42,lost,200,,Kenya
4808,,v Pakistan,1 May 2009,2,Abu Dhabi,44.2,4.51,won,200/2,,Australia
4809,,v Australia,5 Oct 2009,1,Centurion,50.0,4.00,lost,200/9,,New Zealand
4810,,v Kenya,18 Feb 2010,1,Nairobi (Gym),48.4,4.10,won,200,,Netherlands
4811,,v Bangladesh,20 Jul 2010,2,Glasgow,28.5,6.93,won,200/4,,Netherlands
4812,,v Zimbabwe,26 Sep 2010,1,Harare,47.3,4.21,lost,200,,Ireland
4813,,v Bangladesh,5 Oct 2010,2,Dhaka,37.0,5.40,lost,200/8,,New Zealand
4814,,v Zimbabwe,1 Dec 2010,2,Dhaka,49.0,4.08,lost,200,,Bangladesh
4815,,v Sri Lanka,20 Nov 2011,1,Sharjah,49.3,4.04,won,200,,Pakistan
4816,,v Kenya,18 Feb 2012,1,Mombasa,47.3,4.21,lost,200,,Ireland
4817,,v England,7 Jul 2012,1,Chester-le-Street,50.0,4.00,lost,200/9,,Australia
4818,,v New Zealand,6 Nov 2012,2,Pallekele,31.1,6.41,won,200/3,,Sri Lanka
4819,,v England,30 Jan 2015,1,Perth,48.1,4.15,lost,200,,India
4820,,v Bangladesh,21 Jun 2015,1,Dhaka,45.0,4.44,lost,200,,India
4821,,v India,21 Jun 2015,2,Dhaka,38.0,5.26,won,200/4,,Bangladesh
4822,,v England,20 Jan 1983,1,Sydney,47.2,4.20,lost,199,,New Zealand
4823,,v Pakistan,13 Jun 1983,2,Lord's,50.4,3.92,won,199/2,,England
4824,,v India,12 Oct 1984,1,Quetta,40.0,4.97,won,199/7,,Pakistan
4825,,v Pakistan,15 Nov 1985,2,Sharjah,44.1,4.50,won,199/3,,West Indies
